340898,Tamarind Suites,Persiaran Sepang Cyberjaya 63000 Selangor,403,Condominium,1,1,24-Hours Security-Parking-Shuttle Bus-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Wading Pool-Jacuzzi-Sauna-Salon,1000,60175270006
335737,Verdi Eco-Dominiums,Persiaran Simfoni Off Persiaran Bestari Cyberjaya 63000 Selangor,1389,Condominium,3+1,2,24-Hours Security-Parking-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Jacuzzi-Tennis Court,2700,60163425250
301588,Vision Residence (Vâ€™Residence),Jalan Pulau Meranti Cyberjaya 47100 Selangor,1373,Condominium,3,2,Swimming Pool-Wading Pool-Gymnasium-Multipurpose Hall-Cafeteria-Badminton Court-BBQ-Playground-Launderette-Nursery-Mini Market-Jacuzzi,1500,60195522328
173049,Lakefront Residence,Persiaran Semarak Api Cyberjaya 63000 Selangor,1200,Condominium,3,2,24-Hours Security-BBQ-Gymnasium-Jogging Track-Playground,2000,60193100519
878126,Shaftsbury Residence,Jalan Impact Cyberjaya 63000 Selangor,639,Condominium,1,1,24-Hours Security-Swimming Pool-Wading Pool-Sauna-Tennis Court-Gymnasium-Launderette-Playground-Cafeteria-Business Centre,1300,60138358319
987088,Cyber Heights Villa,Jalan Cyber Heights Cyberjaya 63000 Selangor,1219,Condominium,3+1,2,Parking-Playground,1600,60192285001
310304,Mutiara Ville,Persiaran Sepang Off Persiaran Multimedia Cyberjaya 63000 Selangor,975,Condominium,3,2,24-Hours Security-Parking-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Nursery-Business Centre-Salon,1100,60102356385
951664,Sky Park,Jalan Teknorat Cyberjaya 47100 Selangor,739,Condominium,4,1,24-Hours Security-Parking-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Jacuzzi-Sauna-Squash Court-Tennis Court-Cafeteria-Salon,1000,60175743033
805043,Cristal Serin Residence,Persiaran Fauna 1 Off Persiaran Ceria Cyberjaya 63000 Selangor,1521,Condominium,3+1,3,24-Hours Security-Parking-BBQ-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Business Centre-Salon,2500,60126984533
901494,Ceria Residence,Jalan Ceria 1e Cyberjaya 63000 Selangor,1191,Condominium,4,3,24-Hours Security-Parking-Club House-Mini Market-Gymnasium-Jogging Track-Swimming Pool-Wading Pool-Jacuzzi,2000,60122050311
332807,Isle of Kamares,Persiaran Setia Eco Glades Cyberjaya 63000 Selangor,1414,Condominium,3+1,3,Swimming Pool-Jacuzzi-Wading Pool-Playground-BBQ-Multipurpose Hall-Cafeteria-Gymnasium,3100,60122666481
318561,Cyberia Smart Homes,Persiaran Multimedia Cyberjaya 63000 Selangor,300,Condominium,1,1,24-Hours Security-Gymnasium,350,60168538585
743124,Mirage By The Lake,Jalan Mirage 3 Cyberjaya 63000 Selangor,1496,Condominium,3,4,Sauna-Badminton Court-Gymnasium-Swimming Ppool-BBQ-Multipurpose Hall-Playground,3500,60129628904
626753,Gardenview Residences,Lingkaran Cyber Point Barat Off Persiaran Ceria Cyberjaya 63000 Selangor,1066,Condominium,3,2,24-Hours Security-Parking-BBQ-Gymnasium-Jogging Track-Tennis Court-Nursery,1500,60162445851
